search_string,candidate_yoda_name,candidate_page_link,elections_page_link,legislator_page_link,vpap_candidate_num,name,summary,2019_lower_election_name,2019_lower_election_link,2019_lower_ie_support,2019_lower_ie_oppose,2019_lower_name_D,2019_lower_winner_D,2019_lower_party_D,2019_lower_incumbency_D,2019_lower_money_raised_text_D,2019_lower_money_raised_D,2017_lower_election_name,2017_lower_election_link,2017_lower_ie_support,2017_lower_ie_oppose,2017_lower_name_D,2017_lower_winner_D,2017_lower_party_D,2017_lower_incumbency_D,2017_lower_money_raised_text_D,2017_lower_money_raised_D,bio_political_party,bio_race,bio_gender,bio_age,bio_margin_of_victory,bio_birth_state,bio_region,bio_education_level,bio_undergrad_public_private,bio_attorney,bio_military,bio_occupation,bio_stocksinvestments,bio_real_estate,bio_member_since,bio_years_of_service,2019_lower_candidate_party,2019_lower_is_winner,2019_lower_is_incumbent,2019_lower_raised,2017_lower_candidate_party,2017_lower_is_winner,2017_lower_is_incumbent,2017_lower_raised,2017_lower_name_R,2017_lower_winner_R,2017_lower_party_R,2017_lower_incumbency_R,2017_lower_money_raised_text_R,2017_lower_money_raised_R,2019_lower_name_R,2019_lower_winner_R,2019_lower_party_R,2019_lower_incumbency_R,2019_lower_money_raised_text_R,2019_lower_money_raised_R,2019_upper_election_name,2019_upper_election_link,2019_upper_ie_support,2019_upper_ie_oppose,2019_upper_name_R,2019_upper_winner_R,2019_upper_party_R,2019_upper_incumbency_R,2019_upper_money_raised_text_R,2019_upper_money_raised_R,2019_upper_name_D,2019_upper_winner_D,2019_upper_party_D,2019_upper_incumbency_D,2019_upper_money_raised_text_D,2019_upper_money_raised_D,2019_upper_candidate_party,2019_upper_is_winner,2019_upper_is_incumbent,2019_upper_raised
Shelly Simonds,"Simonds, Shelly",https://www.vpap.org/candidates/106052,https://www.vpap.org/candidates/106052/elections/,https://www.vpap.org/legislators/106052,106052,Shelly Simonds,Shelly Simonds was elected to the House of Delegates in 2019.,2019 House of Delegates - District 94 - Regular General,https://www.vpap.org/offices/house-of-delegates-94/elections/?year_and_type=2019regular,10372.0,0,"Simonds, Shelly",True,D,False,"$1,414,077",1414077.0,2017 House of Delegates - District 94 - Regular General,https://www.vpap.org/offices/house-of-delegates-94/elections/?year_and_type=2017regular,0.0,0,"Simonds, Shelly",False,D,False,"$576,954",576954.0,Democrat,Caucasian,Female,52,Won by 10% or More,Ohio,District Office Area Code 757,Master's Degree,Private University; Bucknell University,No,Non-Military,Other / Property Manager,"Between $500,001 and $999,999",Owns property that generates rental income or used for business,2020.0,0.0,D,True,False,1414077.0,D,False,False,576954.0,"Yancey, David",True,R,True,"$663,964",663964.0,"Yancey, David",False,R,True,"$666,096",666096.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Edward Whitlock,"Whitlock, Eddie",https://www.vpap.org/candidates/156499,https://www.vpap.org/candidates/156499/elections/,https://www.vpap.org/legislators/156499,156499,Eddie Whitlock,Eddie Whitlock ran for the 72nd District seat in the House of Delegates in November 2017.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017 House of Delegates - District 72 - Regular General,https://www.vpap.org/offices/house-of-delegates-72/elections/?year_and_type=2017regular,0.0,0,"VanValkenburg, Schuyler",True,D,False,"$547,632",547632.0,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,R,False,False,526718.0,"Whitlock, Eddie",False,R,False,"$526,718",526718.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cori Johnson,"Johnson, Cori",https://www.vpap.org/candidates/291336,https://www.vpap.org/candidates/291336/elections/,https://www.vpap.org/legislators/291336,291336,Cori Johnson,Cori Johnson ran for the 97th District seat in the House of Delegates in November 2017.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017 House of Delegates - District 97 - Regular General,https://www.vpap.org/offices/house-of-delegates-97/elections/?year_and_type=2017regular,0.0,0,"Johnson, Cori",False,D,False,"$29,609",29609.0,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,D,False,False,29609.0,"Peace, Chris",True,R,True,"$272,257",272257.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Toscano,"Toscano, David",https://www.vpap.org/candidates/6713,https://www.vpap.org/candidates/6713/elections/,https://www.vpap.org/legislators/6713,6713,David Toscano,David Toscano has served in the House of Delegates since 2006.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017 House of Delegates - District 57 - Regular General,https://www.vpap.org/offices/house-of-delegates-57/elections/?year_and_type=2017regular,0.0,0,"Toscano, David",True,D,True,"$597,461",597461.0,Democrat,Caucasian,Male,69,Uncontested,New York,District Office Area Code 434,Doctorate,Private University; Colgate University,Yes,Non-Military,"Lawyers / Attorney, Buck Toscano & Tereskerz Ltd","Between $500,001 and $999,999",Owns property that generates rental income or used for business,2006.0,14.0,N/A,N/A,N/A,N/A,D,True,True,597461.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David Yancey,"Yancey, David",https://www.vpap.org/candidates/165088,https://www.vpap.org/candidates/165088/elections/,https://www.vpap.org/legislators/165088,165088,David Yancey,David Yancey has served in the House of Delegates since 2012.,2019 House of Delegates - District 94 - Regular General,https://www.vpap.org/offices/house-of-delegates-94/elections/?year_and_type=2019regular,0,4834.0,"Simonds, Shelly",True,D,False,"$1,414,077",1414077.0,2017 House of Delegates - District 94 - Regular General,https://www.vpap.org/offices/house-of-delegates-94/elections/?year_and_type=2017regular,0.0,0,"Simonds, Shelly",False,D,False,"$576,954",576954.0,Republican,Caucasian,Male,47,Won by Less than 10%,Virginia,District Office Area Code 757,Bachelors Degree,State University,No,Non-Military,"Business People / Real Estate Developer, JP Yancey Partnership","Between $100,001 and $500,000",Owns property that generates rental income or used for business,2012.0,8.0,R,False,True,666096.0,R,True,True,663964.0,"Yancey, David",True,R,True,"$663,964",663964.0,"Yancey, David",False,R,True,"$666,096",666096.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Morgan Goodman,"Goodman, Morgan",https://www.vpap.org/candidates/290202,https://www.vpap.org/candidates/290202/elections/,https://www.vpap.org/legislators/290202,290202,Morgan Goodman,Morgan Goodman ran for House District 55 in 2019 and 2017.,2019 House of Delegates - District 55 - Regular General,https://www.vpap.org/offices/house-of-delegates-55/elections/?year_and_type=2019regular,0,0,"Goodman, Morgan",False,D,False,"$121,413",121413.0,2017 House of Delegates - District 55 - Regular General,https://www.vpap.org/offices/house-of-delegates-55/elections/?year_and_type=2017regular,0.0,0,"Goodman, Morgan",False,D,False,"$77,621",77621.0,,,,,,,,,,,,,,,,,D,False,False,121413.0,D,False,False,77621.0,"Fowler, Buddy",True,R,True,"$79,662",79662.0,"Fowler, Buddy",True,R,True,"$109,704",109704.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sheila Bynum-Coleman,"Bynum-Coleman, Sheila",https://www.vpap.org/candidates/196299,https://www.vpap.org/candidates/196299/elections/,https://www.vpap.org/legislators/196299,196299,Sheila Bynum-Coleman,Sheila Bynum-Coleman ran for the 66th District seat in the House of Delegates in 2019.,2019 House of Delegates - District 66 - Regular General,https://www.vpap.org/offices/house-of-delegates-66/elections/?year_and_type=2019regular,12644.0,23089.0,"Bynum-Coleman, Sheila",False,D,False,"$1,411,734",1411734.0,2017 House of Delegates - District 62 - Regular General,https://www.vpap.org/offices/house-of-delegates-62/elections/?year_and_type=2017regular,0.0,0,"Bynum-Coleman, Sheila",False,D,False,"$132,638",132638.0,,,,,,,,,,,,,,,,,D,False,False,1411734.0,D,False,False,132638.0,"Ingram, Riley",True,R,True,"$249,452",249452.0,"Cox, Kirk",True,R,True,"$2,014,839",2014839.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Buddy Fowler,"Fowler, Buddy",https://www.vpap.org/candidates/14681,https://www.vpap.org/candidates/14681/elections/,https://www.vpap.org/legislators/14681,14681,Buddy Fowler,Buddy Fowler has served in the House of Delegates since 2014.,2019 House of Delegates - District 55 - Regular General,https://www.vpap.org/offices/house-of-delegates-55/elections/?year_and_type=2019regular,0,0,"Goodman, Morgan",False,D,False,"$121,413",121413.0,2017 House of Delegates - District 55 - Regular General,https://www.vpap.org/offices/house-of-delegates-55/elections/?year_and_type=2017regular,0.0,0,"Goodman, Morgan",False,D,False,"$77,621",77621.0,Republican,Caucasian,Male,64,Won by 10% or More,Virginia,District Office Area Code 804,Bachelors Degree,State University,No,Non-Military,Public Employees,"Between $10,001 and $100,000",No property other than primary residence,2014.0,6.0,R,True,True,109704.0,R,True,True,79662.0,"Fowler, Buddy",True,R,True,"$79,662",79662.0,"Fowler, Buddy",True,R,True,"$109,704",109704.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kellen Squire,"Squire, Kellen",https://www.vpap.org/candidates/286101,https://www.vpap.org/candidates/286101/elections/,https://www.vpap.org/legislators/286101,286101,Kellen Squire,Kellen Squire is seeking the Democratic nomination for Lt. Governor in 2021.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017 House of Delegates - District 58 - Regular General,https://www.vpap.org/offices/house-of-delegates-58/elections/?year_and_type=2017regular,0.0,0,"Squire, Kellen",False,D,False,"$115,680",115680.0,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,D,False,False,115680.0,"Bell, Rob",True,R,True,"$631,264",631264.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tracy Carver,"Carver, Tracy",https://www.vpap.org/candidates/294934,https://www.vpap.org/candidates/294934/elections/,https://www.vpap.org/legislators/294934,294934,Tracy Carver,Tracy Carver ran for the 59th District seat in the House of Delegates in November 2017.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017 House of Delegates - District 59 - Regular General,https://www.vpap.org/offices/house-of-delegates-59/elections/?year_and_type=2017regular,0.0,0,"Carver, Tracy",False,D,False,"$11,903",11903.0,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,D,False,False,11903.0,"Fariss, Matt",True,R,True,"$101,205",101205.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rebecca Colaw,"Colaw, Rebecca",https://www.vpap.org/candidates/289562,https://www.vpap.org/candidates/289562/elections/,https://www.vpap.org/legislators/289562,289562,Rebecca Colaw,Rebecca Colaw ran for the 64th District seat in the House of Delegates in November 2017.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2017 House of Delegates - District 64 - Regular General,https://www.vpap.org/offices/house-of-delegates-64/elections/?year_and_type=2017regular,0.0,0,"Colaw, Rebecca",False,D,False,"$54,869",54869.0,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,D,False,False,54869.0,"Brewer, Emily",True,R,False,"$165,237",165237.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lamont Bagby,"Bagby, Lamont",https://www.vpap.org/candidates/254029,https://www.vpap.org/candidates/254029/elections/,https://www.vpap.org/legislators/254029,254029,Lamont Bagby,Democrat Lamont Bagby has represented the 74th District in the House of Delegates since July 2015.,2019 House of Delegates - District 74 - Regular General,https://www.vpap.org/offices/house-of-delegates-74/elections/?year_and_type=2019regular,0,0,"Bagby, Lamont",True,D,True,"$292,526",292526.0,2017 House of Delegates - District 74 - Regular General,https://www.vpap.org/offices/house-of-delegates-74/elections/?year_and_type=2017regular,0.0,0,"Bagby, Lamont",True,D,True,"$82,927",82927.0,Democrat,African-American,Male,43,Uncontested,Virginia,District Office Area Code 804,Master's Degree,State University,No,Non-Military,"Nonprofit and Community Workers / Community Action Executive, Peter Paul Development Center","Less than $10,000",No property other than primary residence,2015.0,5.0,D,True,True,292526.0,D,True,True,82927.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tommy Wright,"Wright, Tommy",https://www.vpap.org/candidates/1805,https://www.vpap.org/candidates/1805/elections/,https://www.vpap.org/legislators/1805,1805,Tommy Wright,Tommy Wright has served in the Virginia House of Delegates since 2001.,2019 House of Delegates - District 61 - Regular General,https://www.vpap.org/offices/house-of-delegates-61/elections/?year_and_type=2019regular,0,0,"Berry, Trudy",False,D,False,"$12,127",12127.0,2017 House of Delegates - District 61 - Regular General,https://www.vpap.org/offices/house-of-delegates-61/elections/?year_and_type=2017regular,0.0,0,N/A,N/A,N/A,N/A,N/A,N/A,Republican,Caucasian,Male,71,Won by 10% or More,Virginia,District Office Area Code 434,Bachelors Degree,State University,No,Non-Military,Business People / Retired Grocer,"Between $100,001 and $500,000",Owns property other than primary residence (no income reported),2001.0,19.0,R,True,True,53806.0,R,True,True,33240.0,"Wright, Tommy",True,R,True,"$33,240",33240.0,"Wright, Tommy",True,R,True,"$53,806",53806.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
